"ID" "Region" "Type" "Afterschool" "Afterschool_time" "Tutoring_time" "Tutoring_amount" "Korean" "English" "Mathematics" "Computer" "Sex" "Nchildren" "Income" "Major"
357 4 2 1 5 0 0 0 0 0 0 1 1 2 9
358 2 1 1 1.333333 0 0 0 0 0 0 2 2 2 2
359 2 1 2 0 8 313.847979 0 70.615795 0 0 1 4 8 6
360 4 1 1 4 4 599.666626 0 0 599.666626 0 2 2 4 6
361 3 1 1 6 5 765.00445 0 353.078977 411.925473 0 2 2 4 6
362 2 1 2 0 3 258.924583 0 0 0 0 2 1 2 5
363 1 1 2 0 8 755.579949 179.899988 251.859983 251.859983 0 2 2 3 6
364 4 1 1 7.333333 3 529.618465 0 0 529.618465 0 1 2 8 6
365 2 1 1 6 10 971.459934 239.86665 299.833313 359.799976 0 1 3 4 9
366 1 1 1 2 18 1461.587457 349.805532 419.766638 359.799976 0 1 2 5 7
367 2 1 2 0 0 0 0 0 0 0 1 2 7 9
368 1 1 2 0 18.666667 3099.248797 0 353.078977 0 0 2 3 4 2
369 3 2 2 0 0 0 0 0 0 0 1 3 3 8
370 3 1 2 0 0 0 0 0 0 0 1 2 3 6
371 2 2 1 5 0 0 0 0 0 0 1 3 3 2
372 3 1 1 2.333333 4 706.157954 0 353.078977 353.078977 0 1 2 6 11
373 3 1 1 2.666667 0 0 0 0 0 0 2 2 7 1
374 1 2 2 0 13.333333 1247.545718 415.848573 415.848573 415.848573 0 1 2 8 11
